Open,High,Low,Close,Adj Close,Volume
137.08999633789062,137.27999877929688,134.52000427246094,134.52000427246094,134.52000427246094,4523000
136.25,136.61000061035156,133.13999938964844,133.89999389648438,133.89999389648438,7599900
133.42999267578125,135.47999572753906,131.80999755859375,134.69000244140625,134.69000244140625,8851900
134.60000610351562,134.72999572753906,131.64999389648438,132.25,132.25,7178800
132.00999450683594,132.32000732421875,128.8000030517578,130.0,130.0,11030200
130.55999755859375,133.67999267578125,129.02999877929688,133.52000427246094,133.52000427246094,9830500
132.6199951171875,132.8000030517578,129.2100067138672,130.30999755859375,130.30999755859375,8779400
128.99000549316406,129.82000732421875,126.55000305175781,127.3499984741211,127.3499984741211,9096300
127.9000015258789,129.7100067138672,125.75,129.11000061035156,129.11000061035156,10723200
129.13999938964844,130.3800048828125,126.4000015258789,127.3499984741211,127.3499984741211,9774900
129.17999267578125,129.64999389648438,127.05999755859375,127.13999938964844,127.13999938964844,15376500
126.30999755859375,128.0,124.33000183105469,127.61000061035156,127.61000061035156,8892600
127.12999725341797,129.1999969482422,125.08000183105469,125.77999877929688,125.77999877929688,9074700
127.26000213623047,128.14999389648438,125.0,126.62000274658203,126.62000274658203,9970600
125.5999984741211,127.66999816894531,120.76000213623047,121.43000030517578,121.43000030517578,11568900
122.0999984741211,122.27999877929688,118.12000274658203,120.30999755859375,120.30999755859375,12023900
120.55999755859375,122.9800033569336,119.05999755859375,119.4800033569336,119.4800033569336,9559000
121.02999877929688,123.33000183105469,118.80000305175781,122.75,122.75,14765300
124.43000030517578,127.19999694824219,122.80000305175781,126.02999877929688,126.02999877929688,27293100
129.77000427246094,131.85000610351562,124.13999938964844,125.41000366210938,125.41000366210938,29471300
123.18000030517578,124.86000061035156,113.81999969482422,118.87000274658203,118.87000274658203,37774400
118.79000091552734,118.9800033569336,114.4000015258789,118.12000274658203,118.12000274658203,23079700
117.12000274658203,119.61000061035156,116.55999755859375,119.0999984741211,119.0999984741211,12405900
118.63999938964844,120.33000183105469,115.73999786376953,115.94000244140625,115.94000244140625,12784000
115.87999725341797,117.6500015258789,114.0999984741211,117.38999938964844,117.38999938964844,11024800
119.37999725341797,121.0,116.55999755859375,116.83000183105469,116.83000183105469,9890200
118.19999694824219,119.08999633789062,117.0,118.02999877929688,118.02999877929688,9223000
118.0,118.61000061035156,116.0,117.36000061035156,117.36000061035156,6233200
117.20999908447266,120.41999816894531,116.5,120.08999633789062,120.08999633789062,8343500
118.98999786376953,119.94000244140625,117.5,119.66000366210938,119.66000366210938,8073500
120.05999755859375,120.5,117.18000030517578,117.52999877929688,117.52999877929688,8932700
117.06999969482422,117.12999725341797,115.55000305175781,116.30999755859375,116.30999755859375,8944800
115.83999633789062,118.51000213623047,114.81999969482422,118.08000183105469,118.08000183105469,9800100
117.91000366210938,119.08999633789062,117.0,117.5199966430664,117.5199966430664,7115600
117.37000274658203,118.97000122070312,116.18000030517578,118.01000213623047,118.01000213623047,6807300
118.01000213623047,119.25,116.51000213623047,117.23999786376953,117.23999786376953,7068200
117.95999908447266,119.80000305175781,117.1500015258789,119.72000122070312,119.72000122070312,7389900
118.16999816894531,118.33999633789062,115.8499984741211,118.19999694824219,118.19999694824219,9533400
117.87999725341797,119.43000030517578,117.0,118.4000015258789,118.4000015258789,5721600
118.69999694824219,124.66000366210938,117.52999877929688,124.54000091552734,124.54000091552734,13296500
125.01000213623047,127.3499984741211,124.80000305175781,125.52999877929688,125.52999877929688,12097500
125.4000015258789,126.94000244140625,124.43000030517578,125.88999938964844,125.88999938964844,6440400
125.9800033569336,128.85000610351562,125.56999969482422,128.52999877929688,128.52999877929688,7509700
129.1300048828125,129.4499969482422,127.06999969482422,128.91000366210938,128.91000366210938,6769300
128.3000030517578,130.85000610351562,127.70999908447266,130.11000061035156,130.11000061035156,5605900
129.58999633789062,130.80999755859375,127.97000122070312,128.82000732421875,128.82000732421875,6070800
129.11000061035156,131.1699981689453,128.47999572753906,130.50999450683594,130.50999450683594,5625700
130.4499969482422,133.6199951171875,130.36000061035156,133.5800018310547,133.5800018310547,7240800
134.1999969482422,134.1999969482422,131.17999267578125,131.82000732421875,131.82000732421875,6150800
131.6999969482422,132.0,128.6300048828125,131.1300048828125,131.1300048828125,6329200
131.24000549316406,132.2899932861328,130.5,131.7899932861328,131.7899932861328,4132500
132.41000366210938,132.69000244140625,131.22000122070312,131.33999633789062,131.33999633789062,4358800
131.02000427246094,132.85000610351562,130.44000244140625,132.75999450683594,132.75999450683594,5021300
133.7100067138672,133.7100067138672,129.66000366210938,130.35000610351562,130.35000610351562,8905000
130.1999969482422,130.9600067138672,128.63999938964844,130.47000122070312,130.47000122070312,5383400
130.88999938964844,130.94000244140625,128.07000732421875,129.25999450683594,129.25999450683594,4213100
128.63999938964844,129.39999389648438,127.19999694824219,128.0399932861328,128.0399932861328,4696400
129.13999938964844,136.91000366210938,128.0399932861328,134.72999572753906,134.72999572753906,16209600
134.89999389648438,136.99000549316406,133.75999450683594,135.05999755859375,135.05999755859375,6565700
135.3699951171875,136.6300048828125,134.3300018310547,135.1199951171875,135.1199951171875,4626900
135.74000549316406,138.19000244140625,135.36000061035156,136.5800018310547,136.5800018310547,6192700
136.0,136.8000030517578,134.47999572753906,135.77000427246094,135.77000427246094,4600600
135.8000030517578,136.50999450683594,131.17999267578125,131.80999755859375,131.80999755859375,8785800
132.85000610351562,133.74000549316406,130.77999877929688,131.49000549316406,131.49000549316406,5816500
131.22999572753906,136.0,131.17999267578125,135.55999755859375,135.55999755859375,7950300
